CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisitsFrequency,Churn
125,35,Male,Pahang,Silver,17,600,Clothing,12/15/2023,IT Analyst,Low,1
126,29,Female,Kuala Lumpur,Bronze,15,800,Home Goods,12/1/2023,Entrepreneur,High,0
127,36,Male,Selangor,Gold,20,1200,Clothing,12/8/2023,Doctor,Medium,1
128,27,Female,Penang,Silver,14,800,Electronics,12/5/2023,Teacher,Low,0
129,42,Male,Sabah,Platinum,25,750,HomeGoods,11/30/2023,Engineer,Medium,1
130,28,Female,Kuala Lumpur,Gold,18,1100,Electronics,12/25/2023,Artist,High,0
131,35,Male,Selangor,Silver,16,950,Clothing,11/29/2023,Scientist,Medium,0
132,27,Female,Penang,Bronze,15,500,HomeGoods,12/20/2023,Engineer,High,1
133,30,Male,Kuala Lumpur,Platinum,22,1400,Electronics,12/14/2023,Entrepreneur,Low,0
134,28,Female,Sabah,Gold,25,700,Clothing,12/22/2023,Marketing Manager,Medium,1
135,33,Male,Terengganu,Silver,20,1300,HomeGoods,12/10/2023,Sales,High,0
136,26,Female,Kuala Lumpur,Bronze,8,450,Electronics,12/15/2023,Software Engineer,Medium,0
137,37,Male,Selangor,Gold,15,900,HomeGoods,12/18/2023,Manager,High,1
138,30,Female,Johor,Silver,20,1400,Clothing,12/5/2023,Artist,Low,0
139,26,Male,Pahang,Platinum,27,750,Electronics,11/30/2023,Engineer,Medium,0
140,31,Female,Kuala Lumpur,Gold,22,1400,Home Goods,11/25/2023,Teacher,High,1
141,35,Male,Selangor,Silver,16,950,Electronics,12/14/2023,Scientist,Low,0
142,29,Female,Penang,Bronze,17,1000,Clothing,12/1/2023,IT Analyst,Medium,1
143,33,Male,Kuala Lumpur,Platinum,30,1500,HomeGoods,12/20/2023,Entrepreneur,High,0
144,28,Female,Johor,Gold,12,700,Electronics,12/10/2023,Nurse,Medium,0
145,36,Male,Sabah,Silver,15,600,Clothing,11/28/2023,Software Engineer,Low,1
146,29,Female,Pahang,Bronze,10,740,HomeGoods,12/18/2023,Manager,High,0
147,34,Male,Kuala Lumpur,Gold,22,1500,Electronics,12/8/2023,Scientist,Medium,0
148,27,Female,Selangor,Platinum,16,980,Clothing,12/14/2023,Artist,Low,1
149,31,Male,Penang,Silver,14,800,HomeGoods,12/20/2023,Engineer,Medium,0
150,26,Female,Kuala Lumpur,Bronze,18,1100,Electronics,11/25/2023,Student,Medium,1
151,32,Male,Selangor,Gold,15,900,HomeGoods,12/1/2023,Engineer,High,1
152,26,Female,Penang,Bronze,10,500,Electronics,11/28/2023,Nurse,Medium,0
153,39,Male,KualaLumpur,Platinum,22,700,Clothing,11/25/2023,Manager,Low,0
154,28,Female,Sabah,Gold,16,950,Electronics,12/10/2023,Artist,Medium,0
155,35,Male,Pahang,Silver,14,600,Clothing,12/15/2023,IT Analyst,Low,1
156,29,Female,Kuala Lumpur,Bronze,15,800,Home Goods,12/1/2023,Entrepreneur,High,0
157,36,Male,Selangor,Gold,20,1200,Clothing,12/8/2023,Doctor,Medium,1
158,27,Female,Penang,Silver,14,800,Electronics,12/5/2023,Teacher,Low,0
159,42,Male,Sabah,Platinum,23,750,HomeGoods,11/30/2023,Engineer,Medium,1
160,28,Female,Kuala Lumpur,Gold,18,1100,Electronics,12/25/2023,Artist,High,0
161,35,Male,Selangor,Silver,16,950,Clothing,11/29/2023,Scientist,Medium,0
162,27,Female,Penang,Bronze,15,930,HomeGoods,12/20/2023,Engineer,High,1
163,30,Male,Kuala Lumpur,Platinum,22,1400,Electronics,12/14/2023,Entrepreneur,Low,0
164,28,Female,Sabah,Gold,25,850,Clothing,12/22/2023,Marketing Manager,Medium,1
165,33,Male,Terengganu,Silver,20,1300,HomeGoods,12/10/2023,Sales,High,0
166,26,Female,Kuala Lumpur,Bronze,8,450,Electronics,12/15/2023,Software Engineer,Medium,0
167,37,Male,Selangor,Gold,15,900,HomeGoods,12/18/2023,Manager,High,1
168,30,Female,Johor,Silver,20,960,Clothing,12/5/2023,Artist,Low,0
169,26,Male,Pahang,Platinum,17,750,Electronics,11/30/2023,Engineer,Medium,0
170,31,Female,Kuala Lumpur,Gold,22,1400,Home Goods,11/25/2023,Teacher,High,1
171,35,Male,Selangor,Silver,16,950,Electronics,12/14/2023,Scientist,Low,0
172,29,Female,Penang,Bronze,17,1000,Clothing,12/1/2023,IT Analyst,Medium,1
173,33,Male,Kuala Lumpur,Platinum,30,1500,Home Goods,12/20/2023,Entrepreneur,High,0
174,28,Female,Johor,Gold,12,700,Electronics,12/10/2023,Nurse,Medium,0
175,36,Male,Sabah,Silver,17,600,Clothing,11/28/2023,Software Engineer,Low,1
176,29,Female,Pahang,Bronze,10,580,HomeGoods,12/18/2023,Manager,High,0
177,34,Male,Kuala Lumpur,Gold,22,1500,Electronics,12/8/2023,Scientist,Medium,0
178,27,Female,Selangor,Platinum,16,980,Clothing,12/14/2023,Artist,Low,1
179,31,Male,Penang,Silver,14,800,HomeGoods,12/20/2023,Engineer,Low,0
180,26,Female,Kuala Lumpur,Bronze,18,1100,Electronics,11/25/2023,Student,Medium,1
181,32,Male,Selangor,Gold,15,900,HomeGoods,12/1/2023,Engineer,High,1
182,26,Female,Penang,Bronze,10,500,Electronics,11/28/2023,Nurse,Medium,0
183,39,Male,Kuala Lumpur,Platinum,22,1225,Clothing,12/15/2023,Manager,Low,0
184,28,Female,Sabah,Gold,16,950,Electronics,12/10/2023,Artist,Medium,0
185,35,Male,Pahang,Silver,18,600,Clothing,12/15/2023,IT Analyst,Low,1
186,29,Female,Kuala Lumpur,Bronze,15,800,Home Goods,12/25/2023,Entrepreneur,High,0
187,36,Male,Selangor,Gold,20,1200,Clothing,12/8/2023,Doctor,Medium,1
188,27,Female,Penang,Silver,14,800,Electronics,12/5/2023,Teacher,Low,0
189,42,Male,Sabah,Platinum,28,750,HomeGoods,11/30/2023,Engineer,Medium,1
190,28,Female,Kuala Lumpur,Gold,18,1100,Electronics,12/25/2023,Artist,High,0
191,35,Male,Selangor,Silver,16,950,Clothing,11/29/2023,Scientist,Medium,0
192,27,Female,Penang,Bronze,15,890,HomeGoods,12/20/2023,Engineer,High,1
193,30,Male,Kuala Lumpur,Platinum,22,1400,Electronics,12/14/2023,Entrepreneur,Low,0
194,28,Female,Sabah,Gold,25,1500,Clothing,12/22/2023,Marketing Manager,Medium,1
195,33,Male,Terengganu,Silver,20,1300,HomeGoods,12/10/2023,Sales,High,0
196,26,Female,Kuala Lumpur,Bronze,8,450,Electronics,12/15/2023,Software Engineer,Medium,0
197,37,Male,Selangor,Gold,15,900,HomeGoods,12/18/2023,Manager,High,1
198,30,Female,Johor,Silver,20,700,Clothing,12/5/2023,Artist,Low,0
199,26,Male,Pahang,Platinum,15,750,Electronics,11/30/2023,Engineer,Medium,0
200,31,Female,Kuala Lumpur,Gold,22,1400,Home Goods,11/25/2023,Teacher,High,1
201,35,Male,Selangor,Silver,16,950,Electronics,12/14/2023,Scientist,Low,0
202,29,Female,Penang,Bronze,17,1000,Clothing,12/1/2023,IT Analyst,Medium,1
203,33,Male,Kuala Lumpur,Platinum,30,1340,Home Goods,12/20/2023,Entrepreneur,High,0
204,28,Female,Johor,Gold,12,700,Electronics,12/10/2023,Nurse,Medium,0
205,36,Male,Sabah,Silver,16,600,Clothing,11/28/2023,Software Engineer,Low,1
206,29,Female,Pahang,Bronze,10,350,HomeGoods,12/18/2023,Manager,High,0
207,34,Male,Kuala Lumpur,Gold,22,1500,Electronics,12/8/2023,Scientist,Medium,0
208,27,Female,Selangor,Platinum,16,980,Clothing,12/14/2023,Artist,Low,1
209,31,Male,Penang,Silver,14,800,HomeGoods,12/20/2023,Engineer,Low,0
210,26,Female,Kuala Lumpur,Bronze,18,1100,Electronics,11/25/2023,Student,Medium,0
211,32,Male,Selangor,Gold,15,900,HomeGoods,12/1/2023,Engineer,High,1
212,26,Female,Penang,Bronze,10,500,Electronics,11/28/2023,Nurse,Medium,0
213,39,Male,Kuala Lumpur,Platinum,22,800,Clothing,12/10/2023,Manager,Low,0
214,28,Female,Sabah,Gold,16,950,Electronics,12/10/2023,Artist,Medium,0
215,35,Male,Pahang,Silver,16,600,Clothing,12/15/2023,IT Analyst,Low,1
216,29,Female,Kuala Lumpur,Bronze,15,800,Home Goods,12/15/2023,Entrepreneur,High,0
217,36,Male,Selangor,Gold,20,1200,Clothing,12/8/2023,Doctor,High,1
218,27,Female,Penang,Silver,14,800,Electronics,12/5/2023,Teacher,Low,0
219,42,Male,Sabah,Platinum,24,750,HomeGoods,11/30/2023,Engineer,Medium,1
220,28,Female,Kuala Lumpur,Gold,18,1100,Electronics,12/25/2023,Artist,High,0
221,35,Male,Selangor,Silver,16,950,Clothing,11/29/2023,Scientist,Medium,0
222,27,Female,Penang,Bronze,15,370,HomeGoods,12/20/2023,Engineer,High,1
223,30,Male,Kuala Lumpur,Platinum,22,1400,Electronics,12/14/2023,Entrepreneur,Low,0
224,28,Female,Sabah,Gold,25,1300,Clothing,12/22/2023,Marketing Manager,Medium,1
225,33,Male,Terengganu,Silver,20,1300,HomeGoods,12/10/2023,Sales,High,0
226,26,Female,Kuala Lumpur,Bronze,8,450,Electronics,12/15/2023,Software Engineer,Medium,0
227,37,Male,Selangor,Gold,15,900,HomeGoods,12/18/2023,Manager,High,1
228,30,Female,Johor,Silver,20,1100,Clothing,12/5/2023,Artist,Low,0
229,26,Male,Pahang,Platinum,20,750,Electronics,11/30/2023,Engineer,Medium,0
230,31,Female,Kuala Lumpur,Gold,22,1400,Home Goods,11/25/2023,Teacher,High,1
231,35,Male,Selangor,Silver,16,950,Electronics,12/14/2023,Scientist,Low,0
232,29,Female,Penang,Bronze,17,1000,Clothing,12/1/2023,IT Analyst,Medium,1
233,33,Male,Kuala Lumpur,Platinum,30,1500,Home Goods,12/20/2023,Entrepreneur,High,0
234,28,Female,Johor,Gold,12,700,Electronics,12/10/2023,Nurse,Medium,0
235,36,Male,Sabah,Silver,14,600,Clothing,11/28/2023,Software Engineer,Low,1
236,29,Female,Pahang,Bronze,10,600,HomeGoods,12/18/2023,Manager,High,0
237,34,Male,Kuala Lumpur,Gold,22,1500,Electronics,12/8/2023,Scientist,Medium,0
238,27,Female,Selangor,Platinum,16,980,Clothing,12/14/2023,Artist,Low,1
239,31,Male,Penang,Silver,14,800,HomeGoods,12/20/2023,Engineer,Low,0
240,26,Female,Kuala Lumpur,Bronze,18,1100,Electronics,11/25/2023,Student,Medium,1
241,32,Male,Selangor,Gold,15,900,HomeGoods,12/1/2023,Engineer,High,1
242,26,Female,Penang,Bronze,10,500,Electronics,11/28/2023,Nurse,Medium,0
243,39,Male,Kuala Lumpur,Platinum,22,1200,Clothing,11/30/2023,Manager,Low,0
244,28,Female,Sabah,Gold,16,950,Electronics,12/10/2023,Artist,Medium,0
245,35,Male,Pahang,Silver,18,800,Clothing,12/15/2023,IT Analyst,Low,1
246,29,Female,Kuala Lumpur,Bronze,15,800,Home Goods,12/2/2023,Entrepreneur,High,0
247,36,Male,Selangor,Gold,20,1200,Clothing,12/8/2023,Doctor,Medium,1
248,27,Female,Penang,Silver,14,800,Electronics,12/5/2023,Teacher,Low,0
249,42,Male,Sabah,Platinum,25,1500,HomeGoods,12/1/2023,Engineer,Medium,1
250,28,Female,Kuala Lumpur,Gold,18,1100,Electronics,12/25/2023,Artist,High,0
251,35,Male,Selangor,Silver,16,950,Clothing,11/29/2023,Scientist,Medium,0
252,27,Female,Penang,Bronze,15,700,HomeGoods,12/20/2023,Engineer,High,1
253,30,Male,Kuala Lumpur,Platinum,22,1400,Electronics,12/14/2023,Entrepreneur,Low,0
254,28,Female,Sabah,Gold,25,1200,Clothing,12/22/2023,Marketing Manager,Medium,1
255,33,Male,Terengganu,Silver,20,1300,HomeGoods,12/10/2023,Sales,High,0
256,26,Female,Kuala Lumpur,Bronze,8,450,Electronics,12/15/2023,Software Engineer,Medium,0
257,37,Male,Selangor,Gold,15,900,HomeGoods,12/18/2023,Manager,High,1
258,30,Female,Johor,Silver,20,1200,Clothing,12/5/2023,Artist,Low,0
259,26,Male,Pahang,Platinum,15,900,Electronics,11/30/2023,Engineer,Medium,0
260,31,Female,Kuala Lumpur,Gold,22,1400,Home Goods,11/25/2023,Teacher,High,1
261,35,Male,Selangor,Silver,16,950,Electronics,12/14/2023,Scientist,Low,0
262,29,Female,Penang,Bronze,17,1000,Clothing,12/1/2023,IT Analyst,Medium,1
263,33,Male,Kuala Lumpur,Platinum,30,1500,Home Goods,12/20/2023,Entrepreneur,High,0
264,28,Female,Johor,Gold,12,700,Electronics,12/10/2023,Nurse,Medium,0
265,36,Male,Sabah,Silver,18,950,Clothing,11/28/2023,Software Engineer,Low,1
266,29,Female,Pahang,Bronze,10,600,HomeGoods,12/18/2023,Manager,High,0
267,34,Male,Kuala Lumpur,Gold,22,1500,Electronics,12/8/2023,Scientist,Medium,0
268,27,Female,Selangor,Platinum,16,980,Clothing,12/14/2023,Artist,Low,1
269,31,Male,Penang,Silver,14,800,HomeGoods,12/20/2023,Engineer,High,0
270,26,Female,Kuala Lumpur,Bronze,18,1100,Electronics,11/25/2023,Student,Medium,0
271,32,Male,Selangor,Gold,15,900,HomeGoods,12/1/2023,Engineer,High,1
272,26,Female,Penang,Bronze,10,500,Electronics,11/28/2023,Nurse,Medium,0
273,39,Male,Kuala Lumpur,Platinum,22,1200,Clothing,11/30/2023,Manager,Low,0
274,28,Female,Sabah,Gold,16,950,Electronics,12/10/2023,Artist,Medium,0
275,35,Male,Pahang,Silver,18,800,Clothing,12/15/2023,IT Analyst,Low,1
276,29,Female,Kuala Lumpur,Bronze,15,800,Home Goods,12/2/2023,Entrepreneur,High,0
277,36,Male,Selangor,Gold,20,1200,Clothing,12/8/2023,Doctor,Medium,1
278,27,Female,Penang,Silver,14,800,Electronics,12/5/2023,Teacher,Low,0
279,42,Male,Sabah,Platinum,25,1500,HomeGoods,12/1/2023,Engineer,Medium,1
280,28,Female,Kuala Lumpur,Gold,18,1100,Electronics,12/25/2023,Artist,High,0
281,35,Male,Selangor,Silver,16,950,Clothing,11/29/2023,Scientist,Medium,0
282,27,Female,Penang,Bronze,15,700,HomeGoods,12/20/2023,Engineer,High,1
283,30,Male,Kuala Lumpur,Platinum,22,1400,Electronics,12/14/2023,Entrepreneur,Low,0
284,28,Female,Sabah,Gold,25,1200,Clothing,12/22/2023,Marketing Manager,Medium,1
285,33,Male,Terengganu,Silver,20,1300,HomeGoods,12/10/2023,Sales,High,0
286,26,Female,Kuala Lumpur,Bronze,8,450,Electronics,12/15/2023,Software Engineer,Medium,0
287,37,Male,Selangor,Gold,15,900,HomeGoods,12/18/2023,Manager,High,1
288,30,Female,Johor,Silver,20,1200,Clothing,12/5/2023,Artist,Low,0
289,26,Male,Pahang,Platinum,15,900,Electronics,11/30/2023,Engineer,Medium,0
290,31,Female,Kuala Lumpur,Gold,22,1400,Home Goods,11/25/2023,Teacher,High,1
291,35,Male,Selangor,Silver,16,950,Electronics,12/14/2023,Scientist,Low,0
292,29,Female,Penang,Bronze,17,1000,Clothing,12/1/2023,IT Analyst,Medium,1
293,33,Male,Kuala Lumpur,Platinum,30,1500,Home Goods,12/20/2023,Entrepreneur,High,0
294,28,Female,Johor,Gold,12,700,Electronics,12/10/2023,Nurse,Medium,0
295,36,Male,Sabah,Silver,18,950,Clothing,11/28/2023,Software Engineer,Low,1
296,29,Female,Pahang,Bronze,10,600,HomeGoods,12/18/2023,Manager,High,0
297,34,Male,Kuala Lumpur,Gold,22,1500,Electronics,12/8/2023,Scientist,Medium,0
298,27,Female,Selangor,Platinum,16,980,Clothing,12/14/2023,Artist,Low,1
299,31,Male,Penang,Silver,14,800,HomeGoods,12/20/2023,Engineer,High,0
300,26,Female,Kuala Lumpur,Bronze,18,1100,Electronics,11/25/2023,Student,Medium,0
271,32,Male,Selangor,Gold,15,900,HomeGoods,12/1/2023,Engineer,High,1
272,26,Female,Penang,Bronze,10,500,Electronics,11/28/2023,Nurse,Medium,0
273,39,Male,Kuala Lumpur,Platinum,22,1200,Clothing,11/30/2023,Manager,Low,0
274,28,Female,Sabah,Gold,16,950,Electronics,12/10/2023,Artist,Medium,0
275,35,Male,Pahang,Silver,18,800,Clothing,12/15/2023,IT Analyst,Low,1
276,29,Female,Kuala Lumpur,Bronze,15,800,HomeGoods,12/2/2023,Entrepreneur,High,0
277,36,Male,Selangor,Gold,20,1200,Clothing,12/8/2023,Doctor,Medium,1
278,27,Female,Penang,Silver,14,800,Electronics,12/5/2023,Teacher,Low,0
